#{"t_start": 1768175605.063413, "env_id": "None"}
r,l,t
11.259696,500,5.785427
8.208758,500,10.715672
20.505876,500,15.530682
10.69547,500,20.204222
10.698601,500,25.540603
11.422043,500,30.569465
10.263395,500,35.606732
8.4244,500,40.457737
9.423706,500,45.656332
19.889474,500,50.890708
10.133527,500,56.373615
10.347985,500,61.296037
11.93687,500,66.594769
13.38492,500,71.432482
10.003549,500,76.045535
10.44632,500,80.761356
11.376713,500,86.450548
16.814936,500,92.600233
9.618073,500,97.505804
13.15268,500,102.462722
7.553656,500,107.89349
29.745001,500,112.784808
15.140046,500,117.426867
11.240449,500,122.120731
9.033161,500,126.918794
7.056793,500,131.521219
9.610869,500,136.209971
16.263665,500,140.953991
22.937951,500,145.893889
19.532266,500,150.606734
11.780187,500,155.57709
9.389535,500,160.29982
10.410549,500,165.374492
6.85294,500,170.274628
11.671303,500,175.791551
21.533205,500,180.895792
12.294589,500,185.999739
9.190747,500,190.842395
11.371902,500,195.485064
20.142175,500,200.500351
10.510008,500,205.585031
13.588119,500,210.363815
11.875858,500,215.24945
8.64022,500,219.886229
13.315721,500,224.524405
12.354955,500,229.36238
23.261557,500,233.994407
10.30008,500,238.608142
12.252401,500,243.312898
21.930594,500,248.167149
17.939869,500,253.153607
12.854012,500,257.872532
12.962155,500,262.53488
17.106221,500,267.791523
18.086169,500,272.499437
27.270415,500,277.34665
27.589768,500,282.165086
27.722556,500,287.070817
14.908132,500,291.618662
33.09482,500,296.791413
10.786613,500,301.488243
16.05766,500,307.010184
12.159164,500,311.854314
12.788805,500,316.330954
29.240924,500,321.073467
22.621598,500,326.354228
14.870488,500,331.800228
17.009459,500,336.774024
23.270141,500,341.823954
20.206352,500,346.891332
23.768254,500,351.96332
17.45633,500,356.883327
24.228348,500,361.764776
17.535648,500,366.391476
15.511851,500,371.011091
27.888716,500,375.4301
27.88443,500,379.756193
19.665828,500,384.131284
27.78149,500,388.392593
28.964245,500,392.600655
17.49491,500,396.85784
32.922006,500,401.373587
23.042779,500,405.709885
21.273031,500,409.919518
19.516744,500,413.998071
23.010764,500,418.202268
25.227241,500,422.698897
31.703737,500,427.241884
23.2375,500,431.718316
24.757043,500,436.041419
12.648241,500,440.399894
25.522904,500,444.700208
17.886215,500,448.874376
16.705767,500,453.388852
34.845956,500,458.444705
22.20775,500,462.7495
17.102643,500,467.346942
25.047559,500,471.644794
35.291079,500,476.193811
30.701778,500,480.650375
17.050051,500,485.186413
22.552438,500,489.845935
32.456964,500,494.64635
28.50828,500,499.044269
29.327656,500,503.423915
25.605444,500,507.914488
22.520669,500,512.651948
28.71596,500,517.277823
12.501817,500,521.689427
23.081118,500,526.032192
39.029284,500,530.651926
40.870464,500,535.497496
16.141783,500,540.182556
29.626319,500,544.562168
29.63251,500,549.057898
32.861032,500,553.628024
36.749385,500,558.045897
24.160527,500,562.582286
19.202246,500,567.071603
38.437587,500,571.627008
34.583751,500,576.437136
37.458731,500,580.977704
36.669247,500,585.616007
26.138642,500,589.974077
12.508561,500,594.528125
24.425409,500,599.155255
22.927695,500,604.095605
37.162493,500,608.628702
21.154627,500,612.895716
14.853261,500,617.305073
26.380267,500,621.65075
21.042037,500,626.111132
26.293703,500,630.473042
32.07655,500,634.855793
34.618456,500,639.569813
13.311522,500,644.255712
34.195739,500,648.824361
25.760719,500,653.218883
13.996789,500,657.711976
31.809672,500,662.357261
16.65744,500,666.582314
14.19319,500,670.936619
34.916683,500,675.299029
25.315591,500,679.616289
26.780798,500,684.13668
38.913927,500,688.747393
14.390837,500,693.07949
17.774606,500,697.568093
12.155588,500,701.885981
15.198121,500,706.142748
19.773166,500,710.440284
29.659683,500,714.900094
12.55686,500,719.176138
35.946119,500,723.690926
23.244283,500,728.166043
17.674369,500,732.862718
33.893172,500,737.377851
36.948554,500,741.94601
33.099862,500,746.241974
15.55644,500,750.838519
38.638474,500,755.561134
21.70594,500,759.875119
18.748596,500,764.129691
15.719486,500,768.512312
21.26688,500,772.763471
17.761646,500,776.871263
28.707317,500,781.140046
18.821645,500,785.619527
34.911286,500,790.156182
33.658758,500,794.667022
19.737164,500,799.07554
34.002086,500,803.610299
16.656108,500,808.302262
36.597504,500,812.88878
29.453717,500,817.302856
13.11971,500,821.358329
27.2795,500,825.871763
27.730998,500,830.28502
37.984865,500,834.804691
19.932981,500,839.026027
13.958354,500,843.536073
34.602193,500,848.224049
33.926734,500,852.604094
23.690777,500,857.173326
22.990243,500,861.872599
20.303198,500,866.530856
16.667402,500,871.12599
30.125042,500,875.581366
32.865588,500,880.219921
23.08614,500,884.723633
15.719206,500,889.279862
35.712891,500,893.923303
25.495154,500,898.837609
34.758329,500,903.499872
34.960848,500,908.022117
19.122198,500,912.390541
31.239878,500,917.028534
25.167099,500,921.320275
17.322132,500,925.624955
16.630649,500,930.036281
